title,lot_number,price,high_bidder,item_number,page,percent_of_price,artist
DESIGN YOUR OWN LIMITED EDITION MONDO POSTER 20 special posters 2021 the rarest Mondo ever!,6x0001,7300,Ch707798,5884158,1,1.0,
"STAR WARS group of 3 24x36 art prints 2010 Mondo, art by Tyler Stout, regular editions!",6x0004,2755,Br701853,5884161,1,0.38,Tyler Stout
"ATTACK PETER signed group of 4 20x30 art prints 2020 by the artist, 1st ed. Linocut Prints!",6x0009,2300,Ow708137,5884166,1,0.31,Attack Peter
"AVATAR: THE LAST AIRBENDER/LEGEND OF KORRA group of 4 art prints 2016-2019 Mondo, Moreno!",6x0010,525,Pa699701,5884167,1,0.07,"['Cesar Moreno', 'Sara Kilpin', 'Craig Drake']"
"STAR WARS group of 3 24x36 art prints 2010 Mondo, art by Olly Moss, first edition!",6x0005,12000,Ya707266,5884162,1,1.64,Olly Moss
"BEFORE TRILOGY #2/150 group of 3 18x24 art prints 2016 Mondo, art by Jason Munn!",6x0012,625,Ke703385,5884169,1,0.09,Jason Munn
"BLACK PANTHER group of 4 art prints 2016-2019 Mondo, Cowan, Ansin, Taylor, Francavilla!",6x0013,410,cu1990nc,5884170,1,0.06,"['Denys Cowan', 'Martin Ansin', 'Matt Taylor', 'Francesco Francavilla']"
"DREW STRUZAN group of 4 18x24 art prints 2017 - 2019, Universal Monsters, Mondo, Frankenstein",6x0014,450,cu1990nc,5884171,1,0.06,Drew Struzan
"FRANKENSTEIN group of 5 art prints 2012-2018 Richard, Durieux, Seamans, Peak!",6x0015,650,Ch698077,5884172,1,0.09,"['JC Richard', 'Laurent Durieux', 'Jessica Seamans', ' Francesco Francavilla', 'Matthew Peak']"
"INSIDE OUT group of 5 18x24 art prints 2016 Mondo, Phantom City Creative!",6x0016,215,Ri704880,5884173,1,0.03,Phantom City Creative
"MUMMY group of 3 24x36 art prints 2011-2018 Mondo, Ansin, Laurent Durieux, Stan & Vince!",6x0018,800,Movieikon,5884175,1,0.11,"['Martin Ansin', 'Laurent Durieux', 'Stan & Vince']"
"OLLY MOSS group of 9 18x24 art prints 2010 Mondo, Alamo Drafthouse, Blues Bros. & more!",6x0019,4000,Se707712,5884176,1,0.55,Olly Moss
"2001: A SPACE ODYSSEY group of 4 art prints 2017-2019 Mondo, Tong, Woodson, Greg, Pelcer!",6x0007,1300,Ma700687,5884164,1,0.18,"['Kevin Tong', 'Matthew Woodson', 'Ruth Greg', 'Boris Pelcer']"
"REAR WINDOW #3/225 group of 2 18x24 art prints 2018 - 2019 Gary Pullin & Schmitz, Mondo!",6x0023,485,Na267121,5884180,1,0.07,"['Gary Pullin', 'Stephan Schmitz']"
"PEANUTS group of 20 art prints 2019-2020 Schulz art of Charlie Brown & characters, Mondo!",6x0021,1650,Vi706784,5884178,1,0.23,Charles M. Schulz
"SHEPARD FAIREY signed group of 2 18x24 art prints 2011 - 2016 by Shepard Fairey, Mondo!",6x0024,725,Ly702415,5884181,1,0.1,Shepard Fairey
"HANDS-ON TOUR OF THE MONDO, ALAMO & PRESS ROOM ARCHIVES tour plus two posters personal tour!",6x0002,10500,Mc705273,5884159,1,1.43,
"SHINING group of 5 art prints 2011-2018 Mondo, Durieux, JC Richard, We Buy Your Kids!",6x0025,990,Sm704176,5884182,1,0.14,"['Laurent Durieux', 'JC Richard', 'We Buy Your Kids']"
"TOM WHALEN group of 2 art prints 2011 & 2012 Mondo, Toy Story and Monsters Inc",6x0026,850,Gl706556,5884183,1,0.12,Tom Whalen
"WARRIORS group of 5 art prints 2009-2010 Mondo, Tyler Stout & Ken Taylor art!",6x0028,926,Joeymazzarino,5884185,1,0.13,"['Tyler Stout', 'Ken Taylor']"
"TRUE GRIT #15/33 15x33 art print 2010 Aaron Horkey, Mondo, laser cut wood variant edition!",6x0029,1100,St657311,5884186,1,0.15,Aaron Horkey
"QUENTIN TARANTINO group of 3 24x36 art prints 2012-2016 Mondo, Stout, Durieux, Edmiston!",6x0022,926,Pa700901,5884179,1,0.13,"['Tyler Stout', 'Laurent Durieux', 'Jason Edmiston']"
